perceptual_processes,time,space,personal_pronoun,first_person_singular,first_person_plural,third_person_singular,third_person_plural,negations,affective_processes,positive_emotions,negative_emotions,certainty,tentative
acid*,abrupt*,above,hed,i,lets,he,their*,aint,abandon*,accept,abandon*,absolute,allot
acrid*,after,across,he'd,Id,let's,hed,them,ain't,abuse*,accepta*,abuse*,absolutely,almost
aroma*,afterlife*,air,her,I'd,our,he'd,themselves,arent,abusi*,accepted,abusi*,accura*,alot
audibl*,aftermath*,among*,hers,I'll,ours,her,they,aren't,accept,accepting,ache*,all,ambigu*
audio*,afternoon*,anywhere,herself,Im,ourselves,hers,theyd,cannot,accepta*,accepts,aching,altogether,any
beaut*,afterthought*,apart,hes,I'm,us,herself,they'd,cant,accepted,active*,advers*,always,anybod*
bitter*,afterward*,area*,he's,ive,we,hes,theyll,can't,accepting,admir*,afraid,apparent,anyhow
black,again,around,him,I've,we'd,he's,they'll,couldnt,accepts,ador*,aggravat*,assur*,anyone*
blacke*,age,at,himself,me,we'll,him,theyve,couldn't,ache*,advantag*,aggress*,blatant*,anything
blackish*,aged,atop,his,mine,we're,himself,they've,didnt,aching,adventur*,agitat*,certain*,anytime
blacks,ages,away,i,my,weve,his,,didn't,active*,affection*,agoniz*,clear,anywhere
blind*,aging,backward*,Id,myself,we've,oneself,,doesnt,admir*,agree,agony,clearly,apparently
blond*,ago,below,I'd,,,she,,doesn't,ador*,agreeab*,alarm*,commit,appear
blue*,ahead,bend,I'll,,,she'd,,dont,advantag*,agreed,alone,commitment*,appeared
boom*,already,bending,Im,,,she'll,,don't,adventur*,agreeing,anger*,commits,appearing
bright*,always,bends,I'm,,,shes,,hadnt,advers*,agreement*,angr*,committ*,appears
brown*,ancient*,beneath,ive,,,she's,,hadn't,affection*,agrees,anguish*,complete,approximat*
brush*,annual*,bent,I've,,,,,hasnt,afraid,alright*,annoy*,completed,arbitrar*
butter*,anymore,beside,lets,,,,,hasn't,aggravat*,amaz*,antagoni*,completely,assum*
candle*,anytime,beyond,let's,,,,,havent,aggress*,amor*,anxi*,completes,barely
caramel*,april,big,me,,,,,haven't,agitat*,amus*,apath*,confidence,bet
caress*,august,bigger,mine,,,,,isnt,agoniz*,aok,appall*,confident,bets
chocolate*,autumn,biggest,my,,,,,isn't,agony,appreciat*,apprehens*,confidently,betting
choir*,awhile,both,myself,,,,,mustnt,agree,assur*,argh*,correct*,blur*
circle,back,bottom*,oneself,,,,,must'nt,agreeab*,attachment*,argu*,defined,borderline*
citrus*,before,breadth,our,,,,,mustn't,agreed,attract*,arrogan*,definite,chance
click*,began,brink,ours,,,,,neednt,agreeing,award*,asham*,definitely,confus*
cold*,begin,broad*,ourselves,,,,,need'nt,agreement*,awesome,assault*,definitive*,contingen*
cologne*,beginn*,capacit*,she,,,,,needn't,agrees,beaut*,asshole*,directly,depend
color*,begins,ceiling*,she'd,,,,,negat*,alarm*,beloved,attack*,distinct*,depended
colour*,begun,center*,she'll,,,,,neither,alone,benefic*,aversi*,entire*,depending
column*,biannu*,centre*,shes,,,,,never,alright*,benefit,avoid*,essential,depends
concert*,bimonth*,city,she's,,,,,no,amaz*,benefits,awful,ever,disorient*
